Début de période;Valeur;Consigne progressive;Consigne;Succès d'optimisation;Tarif;
2016-09-01 00:00:00;274,00;950,00;950,00;0,00;3;
2016-09-01 00:10:00;283,00;1600,00;1600,00;0,00;3;
2016-09-01 00:20:00;288,00;1600,00;1600,00;0,00;3;
2016-09-01 00:30:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 00:40:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 00:50:00;279,00;1600,00;1600,00;0,00;3;
2016-09-01 01:00:00;333,00;1600,00;1600,00;0,00;3;
2016-09-01 01:10:00;364,00;1600,00;1600,00;0,00;3;
2016-09-01 01:20:00;355,00;1600,00;1600,00;0,00;3;
2016-09-01 01:30:00;301,00;1600,00;1600,00;0,00;3;
2016-09-01 01:40:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 01:50:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 02:00:00;279,00;1600,00;1600,00;0,00;3;
2016-09-01 02:10:00;270,00;1600,00;1600,00;0,00;3;
2016-09-01 02:20:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 02:30:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 02:40:00;274,00;1600,00;1600,00;0,00;3;
2016-09-01 02:50:00;279,00;1600,00;1600,00;0,00;3;
2016-09-01 03:00:00;265,00;1600,00;1600,00;0,00;3;
2016-09-01 03:10:00;261,00;1600,00;1600,00;0,00;3;
2016-09-01 03:20:00;283,00;1600,00;1600,00;0,00;3;
2016-09-01 03:30:00;292,00;1600,00;1600,00;0,00;3;
2016-09-01 03:40:00;297,00;1600,00;1600,00;0,00;3;
2016-09-01 03:50:00;351,00;1600,00;1600,00;0,00;3;
2016-09-01 04:00:00;337,00;1600,00;1600,00;0,00;3;
2016-09-01 04:10:00;324,00;1600,00;1600,00;0,00;3;
2016-09-01 04:20:00;328,00;1600,00;1600,00;0,00;3;
2016-09-01 04:30:00;324,00;1600,00;1600,00;0,00;3;
2016-09-01 04:40:00;328,00;1600,00;1600,00;0,00;3;
2016-09-01 04:50:00;319,00;1600,00;1600,00;0,00;3;
2016-09-01 05:00:00;355,00;1600,00;1600,00;0,00;3;
2016-09-01 05:10:00;360,00;1600,00;1600,00;0,00;3;
2016-09-01 05:20:00;387,00;1600,00;1600,00;0,00;3;
2016-09-01 05:30:00;378,00;1600,00;1600,00;0,00;3;
2016-09-01 05:40:00;369,00;1600,00;1600,00;0,00;3;
2016-09-01 05:50:00;382,00;1600,00;1600,00;0,00;3;
2016-09-01 06:00:00;400,00;1600,00;1600,00;0,00;3;
2016-09-01 06:10:00;468,00;1600,00;1600,00;0,00;3;
2016-09-01 06:20:00;495,00;1600,00;1600,00;0,00;3;
2016-09-01 06:30:00;490,00;1200,00;1200,00;0,00;1;
2016-09-01 06:40:00;436,00;1200,00;1200,00;0,00;1;
2016-09-01 06:50:00;414,00;1200,00;1200,00;0,00;1;
2016-09-01 07:00:00;414,00;1200,00;1200,00;0,00;1;
